AddDiv
Key   Value
3    1
5    1
6    2
8    1
10    1
11    2
12    1
14    1
16    1
17    3
19    2
21    1
23    1
25    1
26    1
29    1
32    1
33    1
35    1
36    1
39    1
40    1
41    2
42    1
43    1
45    1
46    1
47    1
48    2
49    1
50    2
51    1
52    2
55    2
59    2
60    1
62    1
63    2

AddMult
Key   Value
0    1
4    1
5    1
6    1
8    1
9    1
11    1
12    1
13    2
14    2
15    1
17    1
18    1
21    1
23    1
25    2
28    2
32    1
33    2
34    2
36    2
37    2
39    2
41    1
49    4
51    1
52    1
53    2
55    3
59    2
60    3
61    1

ExcDiv
Key   Value
2    1
5    2
7    3
8    1
10    1
12    2
14    1
15    3
16    4
17    1
19    1
20    1
25    1
31    1
32    3
33    2
35    1
36    2
37    2
38    1
40    1
42    2
44    1
46    1
48    2
49    1
53    1
54    1
56    1
58    1
59    1
60    1
62    1
63    1

ExcMult
Key   Value
0    1
1    1
3    1
4    2
5    2
7    2
8    1
10    1
11    2
12    1
15    1
16    2
20    1
23    1
25    1
30    1
31    2
33    2
34    2
35    2
36    1
37    2
38    2
40    3
41    3
44    1
45    1
46    1
53    2
54    1
55    1
58    1
61    1
62    1
